MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Moe-Glengarry Road,YALLOURN NORTH,AC,T
Moe-Rawson Road,MOONDARRA,AC,Apr-22
Moe-Willow Grove Road,WILLOW GROVE,AC,Apr-22
Monaro Highway,NOORINBEE,ABC,May-22
Monash Freeway,HALLAM,AC,Mar-22
Monash Road,NEWBOROUGH,ABC,T
Monash Street,SUNSHINE,ABC,T
Monash Way,CHURCHILL,ABC,T
Monbulk Road,SILVAN,ABC,T
Mont Albert Road,CANTERBURY,C,Apr-22
Montague Street,SOUTH MELBOURNE,ABCD,May-22
Montague Street,ALBERT PARK,BCD,May-22
Moore Street,MOE,ABC,T
Moore Street,WARRNAMBOOL,C,Nov-21
Moorooduc Highway,BAXTER,BC,Jan-22
Moorooduc Highway,FRANKSTON SOUTH,C,Jan-22
Moorooduc Highway,MOOROODUC,C,Jan-22
Mooroopna-Murchison Road,MURCHISON,BC,Apr-22
Mooroopna-Murchison Road,OLD TOOLAMBA,BC,Apr-22
Moran Street,PICOLA,BC,Oct-21
Moran Street,LONG GULLY,BCD,Apr-22
Morang Drive,MILL PARK,C,Apr-22
Moray Street,SOUTH MELBOURNE,BCD,May-22
Moreland Road,BRUNSWICK,C,Apr-22
Mornington Peninsula Freeway,ROSEBUD,ABC,Jan-22
Mornington Peninsula Freeway,CHELSEA HEIGHTS,C,T
Mornington Peninsula Freeway,BANGHOLME,C,T
Mornington Peninsula Freeway,PATTERSON LAKES,C,T
Mornington-Tyabb Road,TYABB,C,Jan-22
Morpung Avenue,IRYMPLE,BC,Jul-21
Morris Road,HOPPERS CROSSING,C,Sep-21
Mortlake-Ararat Road,DENICULL CREEK,C,Jul-21
Mortlake-Ararat Road,MAROONA,C,Jul-21
Mossfiel Drive,HOPPERS CROSSING,C,Sep-21
Mount Buffalo Road,POREPUNKAH,BC,May-21
Mount Buller Road,MERRIJIG,ABC,Sep-21
Mount Buller Road,SAWMILL SETTLEMENT,ABC,Sep-21
Mount Buller Road,MANSFIELD,AC,Sep-21
Mount Dandenong Road,CROYDON,ABC,Apr-22
Mount Dandenong Tourist Road,KALORAMA,ABC,Jul-21
Mount Dandenong Tourist Road,MONTROSE,ABC,Jul-21
Mount Macedon Road,WOODEND,C,Nov-21
Mount Napier Road,HAMILTON,BC,Apr-22
Mount Pleasant Road,ELTHAM,BC,Apr-22
Mount Ridley Road,CRAIGIEBURN,AC,Apr-22
Mountain Highway,BORONIA,ABC,Jul-21
Mountain View Road,MONTMORENCY,AC,Dec-21
Mountain View Road,GREENSBOROUGH,BC,Apr-22
Mt Alexander Road,ESSENDON,ABC,Apr-22
Mt Buller Road,MERRIJIG,BCD,Feb-22
Murchison-Tatura Road,DHURRINGILE,BC,Apr-22
Murchison-Tatura Road,TATURA,BC,Apr-22
Murchison-Violet Town Road,ARCADIA SOUTH,AC,Oct-21
Murchison-Violet Town Road,MURCHISON EAST,BC,Apr-22
Murchison-Violet Town Road,MIEPOLL,C,Oct-21
Murdoch Road,WANGARATTA,BC,May-21
Murphy Street,EAST BENDIGO,C,Apr-22
Murradoc Road,DRYSDALE,ABC,Jan-22
Murradoc Road,ST LEONARDS,BC,May-21
Murray Road,COBURG,C,Apr-22
Murray Valley Highway,COBRAM EAST,ABC,Oct-21
Murray Valley Highway,STRATHMERTON,ABC,Oct-21
Murray Valley Highway,YARRAWONGA,ABC,Oct-21
Murray Valley Highway,BRIMIN,ABC,Oct-21
Murray Valley Highway,BROWNS PLAINS,ABC,Oct-21
Murray Valley Highway,TORRUMBARRY,ABC,Mar-22
Murray Valley Highway,WHARPARILLA,ABCD,Mar-22
Murray Valley Highway,ECHUCA,ACD,Mar-22
Murray Valley Highway,MYSTIC PARK,BC,T
Murray Valley Highway,COHUNA,BC,Oct-21
Murray Valley Highway,KENLEY,BC,Oct-21
Murray Valley Highway,MEAD,BC,Oct-21
Murray Valley Highway,SWAN HILL,BC,Oct-21
Murray Valley Highway,WEE WEE RUP,BC,Oct-21
Murray Valley Highway,BARNAWARTHA,BC,Oct-21
Murray Valley Highway,BERRINGAMA,BC,Oct-21
Murray Valley Highway,CUDGEWA,BC,Oct-21
Murray Valley Highway,TALLANGATTA,BC,Oct-21
Murray Valley Highway,GUNBOWER,BC,Mar-22
Murray Valley Highway,LEITCHVILLE,BC,Mar-22
Murray Valley Highway,TRESCO,C,T
Murray Valley Highway,BUNDALONG,C,Oct-21
Murray Valley Highway,BEVERFORD,C,Oct-21
Murray Valley Highway,BOUNDARY BEND,C,Oct-21
Murray Valley Highway,FAIRLEY,C,Oct-21
Murray Valley Highway,KERANG,C,Oct-21
Murray Valley Highway,KERANG EAST,C,Oct-21
Murray Valley Highway,LAKE BOGA,C,Oct-21
Murray Valley Highway,LAKE CHARM,C,Oct-21
Murray Valley Highway,LAKE POWELL,C,Oct-21
Murray Valley Highway,NARRUNG,C,Oct-21
Murray Valley Highway,NYAH,C,Oct-21
Murray Valley Highway,PIAMBIE,C,Oct-21
Murray Valley Highway,PIANGIL,C,Oct-21
Murray Valley Highway,VINIFERA,C,Oct-21
Murray Valley Highway,WOOD WOOD,C,Oct-21
Murray Valley Highway,BONEGILLA,C,Oct-21
Murray Valley Highway,BULLIOH,C,Oct-21
Murray Valley Highway,EBDEN,C,Oct-21
Murray Valley Highway,RED BLUFF,C,Oct-21
Murray Valley Hwy,TOWONG UPPER,C,Oct-21
Murrumbeena Road,MURRUMBEENA,C,May-22
Must Street,PORTLAND,C,Oct-21
Myers Road,BITTERN,BC,Jan-22
Myrtlebank Road,MYRTLEBANK,ABC,Jan-22
Myrtleford-Yackandandah Road,MUDGEGONGA,BC,T
Napier Street,STRATHMORE,C,Apr-22
Nelson Road,LILYDALE,BCD,Mar-22
Nepean Highway,MORNINGTON,ABC,Jan-22
Nepean Highway,MOUNT ELIZA,ABC,Jan-22
Nepean Highway,BRIGHTON EAST,AC,May-22
Nepean Highway,EDITHVALE,AC,May-22
Nepean Highway,SEAFORD,C,Jan-22
Nepean Highway,PARKDALE,C,May-22
Nepean Highway,ELSTERNWICK,C,May-22
Nerowie Road,PARWAN,C,May-22
New Dookie Road,GRAHAMVALE,BC,Apr-22
Newlands Road,RESERVOIR,BCD,Apr-22
Newlands Road,COBURG NORTH,C,Apr-22
Nicholson Street,BRUNSWICK EAST,BCD,Apr-22
Nicholson Street,COBURG,C,Apr-22
Noble Street,NOBLE PARK,CD,Nov-21
Nolan Street,NORTH BENDIGO,ABCD,Apr-22
Norman Street,WENDOUREE,C,Nov-21
Normanby Avenue,THORNBURY,C,Apr-22
Normanby Drive,GREENVALE,BC,Apr-22
Normanby Street,WARRAGUL,BC,Apr-22
North Boundary Road,HAMILTON,C,Apr-22
North Road,LANGWARRIN,ABC,Jan-22
North Road,PEARCEDALE,B,Mar-22
North Road,BRIGHTON EAST,C,May-22
Northern Highway,PYALONG,ABC,Oct-21
Northern Highway,ECHUCA,ABC,Mar-22
Northern Highway,MYOLA,ABC,Mar-22
NORTHERN Highway,ELMORE,ACD,Apr-22
Northern Highway,TOOBORAC,BC,Oct-21
Northern Highway,ELMORE,BCD,Apr-22
Northern Highway,BYLANDS,C,Sep-21
Northern Highway,KILMORE,C,Sep-21
Northern Highway,HIGH CAMP,C,Oct-21
Northern Highway,STRATHALLAN,C,Mar-22
Northgate Drive,THOMASTOWN,ABCD,Apr-22
Northumberland Road,PASCOE VALE,ABC,Apr-22
Oak Street,PARKVILLE,ABC,May-22
Oaklands Road,BULLA,AC,Apr-22
Oaklands Road,OAKLANDS JUNCTION,BC,Apr-22
Oakwood Road,ALBANVALE,C,T
Oberon Avenue,ST ALBANS,C,T
Ogilvie Avenue,ECHUCA,C,Mar-22
O'Gradys Road,CARRUM DOWNS,ABC,Jan-22
O'Gradys Road,KILMORE EAST,C,Sep-21
Oherns Road,EPPING,BCD,Jan-22
O'Herns Road,EPPING,BCD,Apr-22
Old Dandenong Road,OAKLEIGH SOUTH,C,May-22
Old Melbourne Road,TRARALGON,ABC,T
Old Sale Road,DROUIN WEST,C,Apr-22
Old Warrandyte Road,DONVALE,C,Apr-22
Old Western Highway,GORDON,ABC,Dec-21
O'Leary Way,MADDINGLEY,ABCD,Jul-21
Olympic Parade,MAIDEN GULLY,ABC,Apr-22
Olympic Parade,KANGAROO FLAT,ACD,Apr-22
Omeo Highway,ESKDALE,ABC,Oct-21
Omeo Highway,MITTA MITTA,ABC,Oct-21
O'Neil Road,BEACONSFIELD,BC,Apr-22
Ontario Avenue,MILDURA,BCD,Mar-22
Oriel Road,IVANHOE,C,Apr-22
Ormond Esplanade,ELWOOD,BC,May-22
Ormond Road,EAST GEELONG,BC,Jan-22
Ormond Road,MOONEE PONDS,C,Apr-22
Orrong Road,TOORAK,C,May-22
Outlook Drive,DANDENONG NORTH,BC,Nov-21
Overland Drive,DOREEN,BCD,Apr-22
Overport Road,FRANKSTON,C,Jan-22
Overton Lea Boulevard,SYDENHAM,BC,T
Oxley Flats Road,WANGARATTA,ABC,May-21
Palmerston Street,MELTON,C,May-22
Panorama Avenue,LOWER PLENTY,BC,Apr-22
Panton Street,GOLDEN SQUARE,CD,Apr-22
Parer Road,AIRPORT WEST,BC,Apr-22
Park Lane,TRARALGON,ABC,T
Park Road,CHELTENHAM,AC,May-22
Park Road,MARYBOROUGH,BCD,Apr-22
Park Road,DONVALE,C,Apr-22
Park Road,PARK ORCHARDS,C,Apr-22
Park Street,PARKVILLE,BCD,May-22
Parkside Drive,SHEPPARTON,ABC,Apr-22
Parwan-Exford Road,PARWAN,C,May-22
Pascoe Vale Road,GLENROY,ABC,Apr-22
Pascoe Vale Road,JACANA,ABC,Apr-22
Pascoe Vale Road,COOLAROO,ABCD,Apr-22
Pascoe Vale Road,MEADOW HEIGHTS,ABCD,Apr-22
Pascoe Vale Road,OAK PARK,AC,Apr-22
Pascoe Vale Road,PASCOE VALE,AC,Apr-22
Pascoe Vale Road,ESSENDON,C,Apr-22
Pascoe Vale Road,STRATHMORE,C,Apr-22
Patten Street,SALE,C,Jan-22
Patterson Avenue,KEILOR,C,T
Paynesville Road,BAIRNSDALE,ABC,Sep-21
Paynesville Road,EAGLE POINT,C,Sep-21
Pearcedale Road,CRANBOURNE SOUTH,B,Mar-22
Pearcedale Road,PEARCEDALE,B,Mar-22
Peel Street,BALLARAT,C,Nov-21
Perkins Road,LARA,ABCD,Nov-21
Perry Road,KEYSBOROUGH,CD,Nov-21
Peter Ross-Edwards Causeway,SHEPPARTON,ABC,Apr-22
Phillip Island Road,SURF BEACH,AC,T
Pickles Street,ALBERT PARK,ABCD,May-22
Pillars Road,BANGHOLME,BC,Nov-21
Pine Park Drive,WOLLERT,BCD,Dec-21
Pioneer Road,GROVEDALE,BC,Jan-22
Pitt Street,ELTHAM,BC,Apr-22
Plantation Road,CORIO,BC,Jan-22
Plenty River Drive,GREENSBOROUGH,BC,Apr-22
Plenty Road,RESERVOIR,ABCD,Apr-22
Plenty Road,YAN YEAN,AC,Apr-22
Plenty Road,MERNDA,BCD,Apr-22
Plummer Street,PORT MELBOURNE,BCD,May-22
Plumpton Road,PLUMPTON,ABC,May-22
Plumpton Road,FRASER RISE,ABCD,May-22
Poath Road,HUGHESDALE,B,May-22
Point Cook Road,POINT COOK,BC,Sep-21
Point Nepean Road,DROMANA,C,Jan-22
Point Nepean Road,MCCRAE,C,Jan-22
Point Richards Road,PORTARLINGTON,BC,May-21
Police Road,SPRINGVALE,C,Nov-21
Pollack Street,COLAC,C,Jan-22
Port Fairy Road,BYADUK,C,Apr-22
Port Fairy Road,HAMILTON,C,Apr-22
Portarlington Road,MOOLAP,AC,Jan-22
Portarlington-Queenscliff Road,MANNERIM,ABC,May-21
Portland-Casterton Road,SANDFORD,C,Oct-21
Portland-Nelson Road,MOUNT RICHMOND,ABC,Oct-21
Portland-Nelson Road,PORTLAND,C,Oct-21
Pound Road,HAMPTON PARK,ABC,Mar-22
Pound Road,NARRE WARREN SOUTH,C,Mar-22
Powells Avenue,EAST BENDIGO,C,Apr-22
Power Road,ENDEAVOUR HILLS,B,Mar-22
Powerscourt Street,MAFFRA,C,Jan-22
Powlett Street,INVERLOCH,BC,T
Prince Street,ROSEDALE,C,Jan-22
Princes  Freeway,LONGWARRY,ABCD,Apr-22
Princes  Freeway,WARRAGUL,ABCD,Apr-22
Princes  Highway,MUNRO,ABC,Jan-22
Princes  Highway,MOE,ABCD,T
Princes  Highway,TRAFALGAR,C,Apr-22
Princes Drive,MORWELL,ABCD,T
Princes Freeway,BUNYIP,ABC,Apr-22
Princes Freeway,WARRAGUL,ABC,Apr-22
Princes Freeway,MORWELL,ABCD,T
Princes Freeway,NEWBOROUGH,ABCD,T
Princes Freeway,LONGWARRY NORTH,ABCD,Apr-22
Princes Freeway,DROUIN,ABCD,Apr-22
Princes Freeway,TYNONG,AC,Apr-22
Princes Freeway,DARNUM,ACD,Apr-22
Princes Freeway,NILMA,ACD,Apr-22
Princes Freeway,TRAFALGAR,ACD,Apr-22
Princes Freeway,GARFIELD,B,Apr-22
Princes Freeway,PAKENHAM,BC,Apr-22
Princes Freeway,NAR NAR GOON,BC,Apr-22
Princes Freeway,LONGWARRY,BCD,Apr-22
Princes Highway,WERRIBEE,ABC,Sep-21
Princes Highway,TERANG,ABC,Nov-21
Princes Highway,BELMONT,ABC,Jan-22
Princes Highway,HALLAM,ABC,Mar-22
Princes Highway,NAR NAR GOON,ABC,Apr-22
Princes Highway,PAKENHAM,ABC,Apr-22
Princes Highway,LONGWARRY NORTH,ABC,Apr-22
Princes Highway,GENOA,ABC,May-22
Princes Highway,FLYNN,ABCD,T
Princes Highway,MOE,ABCD,T
Princes Highway,TRARALGON,ABCD,T
Princes Highway,TRARALGON EAST,ABCD,May-21
Princes Highway,HEYWOOD,AC,Oct-21
Princes Highway,BERWICK,AC,Mar-22
Princes Highway,CANN RIVER,AC,May-22
Princes Highway,CLUB TERRACE,AC,May-22
Princes Highway,JOHNSONVILLE,BC,Sep-21
Princes Highway,LAKES ENTRANCE,BC,Sep-21
Princes Highway,NOWA NOWA,BC,Sep-21
Princes Highway,POMBORNEIT,BC,Nov-21
Princes Highway,PORT FAIRY,BC,Nov-21
Princes Highway,PIRRON YALLOCK,BC,Jan-22
Princes Highway,OFFICER,BC,Apr-22
Princes Highway,TOSTAREE,BC,May-22
Princes Highway,WINCHELSEA,BCD,Jan-22
Princes Highway,LUCKNOW,C,Sep-21
Princes Highway,DRUMBORG,C,Oct-21
Princes Highway,GREENWALD,C,Oct-21
Princes Highway,MUMBANNAR,C,Oct-21
Princes Highway,NARRAWONG,C,Oct-21
Princes Highway,TYRENDARRA,C,Oct-21
Princes Highway,WINNAP,C,Oct-21
Princes Highway,ALLANSFORD,C,Nov-21
Princes Highway,SPRINGVALE,C,Nov-21
Princes Highway,FULHAM,C,Jan-22
Princes Highway,CABBAGE TREE CREEK,C,May-22
Princes Highway,MANORINA,C,May-22
Princes Highway,NEWMERELLA,C,May-22
Princes Highway,ORBOST,C,May-22
Princes Highway,WAYGARA,C,May-22
Princes Highway,MCKENZIE RIVER,C,May-22
Princes Way,WARRAGUL,ABCD,Apr-22
Princes Way,LONGWARRY,ACD,Apr-22
Princes Way,DROUIN,BCD,Apr-22
Princess Road,CORIO,BC,Jan-22
Progress Road,ELTHAM NORTH,BC,Apr-22
Promontory Road,YANAKIE,C,T
Prospect Hill Road,NARRE WARREN,BC,Mar-22
Prouses Road,NORTH BENDIGO,ABCD,Apr-22
Prouses Road,CALIFORNIA GULLY,BCD,Apr-22
Purches Street,MITCHAM,C,Apr-22
Pyke Street,QUARRY HILL,C,Apr-22
Pyrenees Highway,ARARAT,BC,Jul-21
Pyrenees Highway,AMPHITHEATRE,BC,Nov-21
Pyrenees Highway,ELMHURST,BC,Nov-21
Pyrenees Highway,EVERSLEY,C,Jul-21
Quarry Road,LANGWARRIN,ABC,Jan-22
Queen Street,MAFFRA,B,Jan-22
Queen Street,WARRAGUL,BCD,Apr-22
Queen Street,ALTONA,C,Sep-21
Queens Avenue,CAULFIELD EAST,AC,Sep-21
Racecourse Road,PAKENHAM,BC,Apr-22
Radford Road,RESERVOIR,ABCD,May-22
Raftery Road,KIALLA,C,Apr-22
Raglan Street,PRESTON,AC,Apr-22
Raglan Street,SALE,C,Jan-22
Railway Avenue,WERRIBEE,C,Sep-21
Raleigh Street,WESTMEADOWS,C,Apr-22
Ranfurly Way,MILDURA,AC,Jul-21
Rattray Road,MONTMORENCY,AC,Apr-22
Rea Street,SHEPPARTON,ABC,Apr-22
Recreation Road,YAN YEAN,B,Apr-22
Rees Road,MELTON SOUTH,C,May-22
Reeve Street,SALE,C,Jan-22
Regent Street,MERNDA,BCD,Apr-22
Reid Parade,HASTINGS,AB,Jan-22
Remembrance Drive,CARDIGAN,AC,Nov-21
Research Warrandyte Road,RESEARCH,BC,Apr-22
Research-Warrandyte Road,NORTH WARRANDYTE,BC,Dec-21
Research-Warrandyte Road,RESEARCH,BC,Apr-22
Reserve Road,CHELTENHAM,AC,May-22
Reservoir Road,KENNINGTON,C,Apr-22
Reservoir Road,SUNBURY,C,Apr-22
Retreat Road,SPRING GULLY,BCD,Apr-22
Reynolds Parade,PASCOE VALE SOUTH,C,Apr-22
Reynolds Road,TEMPLESTOWE,ABC,Apr-22
Rhodes Parade,PASCOE VALE,C,Apr-22
Riddell Road,SUNBURY,AC,Apr-22
Riggall Street,DALLAS,C,Apr-22
Rippon Road,HAMILTON,BC,Apr-22
River Drive,TARWIN LOWER,C,T
River Road,MURCHISON,C,Apr-22
Riverine Street,BAIRNSDALE,C,Sep-21
Riverview Drive,KIALLA,BC,Apr-22
Robertson Drive,MORNINGTON,BCD,Jan-22
Robinsons Road,FRANKSTON,ABC,Jan-22
Robinsons Road,PEARCEDALE,B,Mar-22
Robinvale-Sea Lake Road,ROBINVALE,BC,Oct-21
Rockbank Middle Road,CAROLINE SPRINGS,C,May-22
Rohs Road,EAST BENDIGO,BCD,Apr-22
Rosebank Avenue,RINGWOOD NORTH,BC,Jul-21
Rosedale-Heyfield Road,WINNINDOO,ABC,Jan-22
Rosedale-Longford Road,LONGFORD,ABC,Jan-22
Rosehill Road,LOWER PLENTY,BCD,Apr-22
Rosehill Road,KEILOR EAST,C,Apr-22
Ross Road,CROYDON,ABCD,Jul-21
Rowan Drive,KEALBA,C,T
Rowes Road,WERRIBEE,C,Sep-21
Roxburgh Park Drive,ROXBURGH PARK,C,Apr-22
Royal Parade,PARKVILLE,A,May-22
Rushworth Road,MURCHISON,BC,Apr-22
Rushworth Tatura Road,RUSHWORTH,BC,Mar-22
Rushworth-Tatura Road,RUSHWORTH,C,Mar-22
Russell Street,CASTERTON,C,Oct-21
Russell Street,BALLARAT,C,Nov-21
Ryans Road,ELTHAM NORTH,ABCD,Apr-22
Ryrie Street,GEELONG,BCD,May-21
Sages Road,BAXTER,BC,Jan-22
Sailors Gully Road,EAGLEHAWK,C,Apr-22
Sailors Gully Road,SAILORS GULLY,C,Apr-22
Sale-Heyfield Road,DENISON,ABC,Jan-22
Sale-Heyfield Road,FULHAM,C,Jan-22
Salmon Street,PORT MELBOURNE,BCD,May-22
Saltlake Boulevard,WOLLERT,BCD,Dec-21
Saltwater Promenade,POINT COOK,BC,Sep-21
Samaria Road,BENALLA,C,Oct-21
Sand Road,LONGWARRY,ACD,Apr-22
Sanders Road,HAZELWOOD NORTH,BC,T
Sandhurst Road,CALIFORNIA GULLY,ABCD,Apr-22
Sandilong Avenue,IRYMPLE,BC,Jul-21
Sandpiper Drive,TAYLORS LAKES,BC,T
Saxonwood Drive,NARRE WARREN,BC,Mar-22
Sayers Road,HOPPERS CROSSING,C,Sep-21
Scanlon Drive,EPPING,BCD,Apr-22
Schotters Road,MERNDA,C,Apr-22
Seaford Road,SEAFORD,C,Jan-22
Seaspray Road,LONGFORD,C,Jan-22
Seaspray Road,SEASPRAY,C,Jan-22
Sebastopol-Smythesdale Road,ROSS CREEK,BC,T
Selkirk Road,WOODSTOCK,AC,Apr-22
Serpells Road,TEMPLESTOWE,BC,Apr-22
Service Street,CLUNES,C,T
Settlement Road,THOMASTOWN,ABCD,Apr-22
Settlement Road,COWES,C,T
Seventh Street,MILDURA,C,Jul-21
Seymour-Avenel Road,SEYMOUR,C,Oct-21
Seymour-Tooborac Road,PUCKAPUNYAL,C,Oct-21
Seymour-Tooborac Road,SEYMOUR,C,Oct-21
Seymour-Tooborac Road,TOOBORAC,C,Oct-21
Shakespeare Street,HAMILTON,C,Apr-22
Shanahan Parade,NEWBOROUGH,AC,T
Shaws Road,WERRIBEE,C,Sep-21
Shearwater Drive,PAKENHAM,BC,Apr-22
Sheepwash Road,BARWON HEADS,BC,Jan-22
Shelford-Bannockburn Road,TEESDALE,ABC,Dec-21
Shell Road,OCEAN GROVE,ABC,May-21
Shell Road,POINT LONSDALE,ABC,May-21
Sherbourne Road,MONTMORENCY,C,Apr-22
Shrives Road,NARRE WARREN,B,Mar-22
Simpsons Road,EAGLEHAWK,BCD,Apr-22
Sixteenth Street,MILDURA SOUTH,AC,Jul-21
Sixteenth Street,IRYMPLE,BC,Jul-21
Skene Street,WARRNAMBOOL,C,Nov-21
Skye Road,FRANKSTON,ABC,Jan-22
Sladen Street,CRANBOURNE,BC,Mar-22
Smithfield Road,KENSINGTON,ABC,May-22
Sneydes Road,WERRIBEE,BC,Sep-21
Soldiers Road,CLYDE NORTH,ABCD,Mar-22
Somerton Park Road,SALE,C,Jan-22
Somerton Road,GREENVALE,ABC,Apr-22
Somerton Road,BULLA,AC,Apr-22
Somerville  Road,YARRAVILLE,BC,Jan-22
Somerville Road,YARRAVILLE,BCD,Jan-22
South Boundary Road,HAMILTON,BC,Apr-22
South Gippsland Highway,BENA,A,T
South Gippsland Highway,CLYDE,ABCD,Mar-22
South Gippsland Highway,CRANBOURNE EAST,ABCD,Mar-22
South Gippsland Highway,DEVON MEADOWS,ABCD,Mar-22
South Gippsland Highway,YARRAM,AC,Jan-22
South Gippsland Highway,LANG LANG,AC,Apr-22
South Gippsland Highway,TOORADIN,BC,Mar-22
South Gippsland Highway,RUBY,C,T
South Gippsland Highway,WELSHPOOL,C,T
South Gippsland Highway,ALBERTON,C,Jan-22
South Gippsland Highway,HEDLEY,C,Jan-22
South Gippsland Highway,LONGFORD,C,Jan-22
South Gippsland Highway,STRADBROKE,C,Jan-22
South Gippsland Highway,FIVE WAYS,C,Mar-22
South Road,MOORABBIN,ABC,May-22
South Road,HAMPTON,AC,May-22
South Street,HADFIELD,BC,Apr-22
Southern Road,HEIDELBERG HEIGHTS,C,Apr-22
Specimen Hill Road,GOLDEN SQUARE,CD,Apr-22
Spencer Street,MELBOURNE,ABCD,May-22
Spring Gully Road,SPRING GULLY,ABCD,Apr-22
Spring Road,DINGLEY VILLAGE,C,May-22
Spring Road,SPRINGVALE SOUTH,CD,Nov-21
Spring Street,PRESTON,ABCD,Apr-22
Springfield Road,BLACKBURN NORTH,C,Apr-22
Springfield Road,MITCHAM,C,Apr-22
Springs Road,CLARINDA,AC,Sep-21
Springvale Road,FOREST HILL,ABCD,Apr-22
Springvale Road,KEYSBOROUGH,AC,Nov-21
Springvale Road,NUNAWADING,BC,Apr-22
St Aidans Road,KENNINGTON,ABCD,Apr-22
St Albans Road,ST ALBANS,C,T
St Arnaud-Wycheproof Road,WOOROONOOK,C,Oct-21
St Georges Road,CORIO,ABCD,Jun-21
St Georges Road,THORNBURY,BCD,Apr-22
St Georges Road,TOORAK,BCD,May-22
St James Road,ROSANNA,BCD,Dec-21
St Kilda Road,ST KILDA,ABCD,Jan-22
Station Road,MELTON SOUTH,C,May-22
Station Street,EPSOM,ABCD,Apr-22
Station Street,FAIRFIELD,AC,Apr-22
Station Street,OFFICER,B,Apr-22
Station Street,POREPUNKAH,BCD,Jun-21
Station Street,BOX HILL,C,Apr-22
Station Street,BOX HILL NORTH,C,Apr-22
Station Street,BOX HILL SOUTH,C,Apr-22
Stawell - Avoca Road,STAWELL,ABC,Dec-21
Stawell-Warracknabeal Road,WARRACKNABEAL,B,T
Stawell-Warracknabeal Road,GLENORCHY,C,Jul-21
Stawell-Warracknabeal Road,SHEEP HILLS,C,Jul-21
Stead Street,SALE,BC,Jan-22
Stephensons Road,MOUNT WAVERLEY,C,Apr-22
Sternberg Street,KENNINGTON,CD,Apr-22
Stony Point Road,CRIB POINT,BC,Jan-22
Strachans Road,MORNINGTON,BC,Jan-22
Stratford-Maffra Road,MAFFRA,C,Jan-22
Strathallan Road,MACLEOD,B,Apr-22
Strathkellar Road,STRATHKELLAR,AC,Apr-22
Strickland Road,EAST BENDIGO,ABCD,Apr-22
Strzelecki Highway,BERRYS CREEK,A,T
Strzelecki Highway,MIRBOO NORTH,A,T
Strzelecki Highway,DRIFFIELD,ABC,T
Strzelecki Highway,TEN MILE CREEK,ABC,T
Strzelecki Highway,DELBURN,B,T
Stubbs Street,KENSINGTON,BCD,May-22
Stud Road,ROWVILLE,ABC,Apr-22
Studley Road,EAGLEMONT,BCD,Jan-22
Sturt Highway,KARAWINNA,ABC,Jul-21
Sturt Highway,YARRARA,ABC,Jul-21
Sturt Highway,MERBEIN SOUTH,BC,Jul-21
Sturt Highway,MERINGUR,C,Jul-21
Sturt Highway,MERRINEE,C,Jul-21
Sturt Highway,WARGAN,C,Jul-21
Sunbury Road,SUNBURY,AC,Apr-22
Sunraysia Highway,ADDINGTON,ABC,Aug-21
Sunraysia Highway,LAMPLOUGH,BC,Nov-21
Sunraysia Highway,LEARMONTH,BC,Nov-21
Sunraysia Highway,TANWOOD,BC,Nov-21
Sunraysia Highway,BRONZEWING,C,Jul-21
Sunraysia Highway,GYPSUM,C,Jul-21
Sunraysia Highway,CARAPOOEE,C,Jul-21
Sunraysia Highway,STUART MILL,C,Jul-21
Sunraysia highway,SWANWATER,C,Jul-21
Sunraysia Highway,BIRCHIP,C,Oct-21
Sunraysia Highway,DONALD,C,Oct-21
Sunraysia Highway,LEXTON,C,Nov-21
Sunraysia Highway,GAMA,BC,Jul-21
Sunshine Avenue,KEILOR DOWNS,ABC,T
Sutton Street,WARRAGUL,CD,Apr-22
Swansea Road,LILYDALE,ABC,Jan-22
Swansea Road,MONTROSE,C,T
Sydenham Road,SYDENHAM,C,T
Sydney Road,FAWKNER,ABCD,Apr-22
Sydney Road,CRAIGIEBURN,ABCD,Apr-22
Sydney Road,CAMPBELLFIELD,AC,Apr-22
Symonds Street,GOLDEN SQUARE,ACD,Apr-22
Taggerty-Thornton Road,THORNTON,C,Oct-21
Tannery Lane,MANDURANG,ACD,Apr-22
Tarcombe Road,SEYMOUR,BC,Oct-21
Tarcombe Street,EUROA,C,T
Tarneit Road,HOPPERS CROSSING,ABC,Sep-21
Tatura-Undera Road,GILLIESTON,BC,Apr-22
Taylor Street,ASCOT,BC,Apr-22
Taylors Lane,ROWVILLE,BC,Apr-22
Taylors Road,CAROLINE SPRINGS,ABC,May-22
Taylors Road,TAYLORS HILL,ABC,May-22
Taylors Road,ST ALBANS,AC,T
Taylors Road,PLUMPTON,BC,May-22
Templeton Street,WANTIRNA,ABC,T
Templewood Crescent,AVONDALE HEIGHTS,BCD,Apr-22
Tennyson Street,ELWOOD,BCD,May-22
Thacker Street,OCEAN GROVE,BC,May-21
The Avenue,SPOTSWOOD,C,Sep-21
The Avenue,SUNBURY,C,Apr-22
The Avenue of Honour,BACCHUS MARSH,BC,Nov-21
The Boulevard,SHEPPARTON,BC,Apr-22
The Boulevard,PORT MELBOURNE,BCD,May-22
The Esplanade,TORQUAY,BC,Jan-22
The Eyrie,EAGLEMONT,B,Apr-22
The Lakes Boulevard,SOUTH MORANG,BC,Apr-22
Thistle Street,GOLDEN SQUARE,BCD,Apr-22
